name,model,loss,optimizer,learning_rate,epochs,batch_size,seq_len,iots,train_test_split,train_val_split,model_filename,train,test,tr_star,ws_star,benign_test,gafgyt_combo,gafgyt_junk,gafgyt_scan,gafgyt_tcp,gafgyt_udp,mirai_ack,mirai_scan,mirai_syn,mirai_udp,mirai_udpplain
All_Cluster,AutoEncoder,MSE,SGD,0.012,800,32,,Provision_737_Security_Camera,0.66,0.8,../models/All_Cluster,TRUE,TRUE,0.052990519,3404,0,0.971449144,0.940931609,0.942879158,0.981495751,0.983877061,0.98335535,0.984203928,0.986065447,0.992842867,0.979251543
All_Cluster,AutoEncoder,MSE,SGD,0.012,800,32,,Provision_838_Security_Camera,0.66,0.8,../models/All_Cluster,TRUE,TRUE,0.052990519,3404,0,0.971449144,0.940931609,0.942879158,0.981495751,0.983877061,0.98335535,0.984203928,0.986065447,0.992842867,0.979251543
All_Cluster,AutoEncoder,MSE,SGD,0.012,800,32,,Samsung_Webcam,0.66,0.8,../models/All_Cluster,TRUE,TRUE,0.052990519,3404,0,0.971449144,0.940931609,0.942879158,0.981495751,0.983877061,0.98335535,0.984203928,0.986065447,0.992842867,0.979251543
All_Cluster,AutoEncoder,MSE,SGD,0.012,800,32,,Simple_Home_1002_Security_Camera,0.66,0.8,../models/All_Cluster,TRUE,TRUE,0.052990519,3404,0,0.971449144,0.940931609,0.942879158,0.981495751,0.983877061,0.98335535,0.984203928,0.986065447,0.992842867,0.979251543
All_Cluster,AutoEncoder,MSE,SGD,0.012,800,32,,Simple_Home_1003_Security_Camera,0.66,0.8,../models/All_Cluster,TRUE,TRUE,0.052990519,3404,0,0.971449144,0.940931609,0.942879158,0.981495751,0.983877061,0.98335535,0.984203928,0.986065447,0.992842867,0.979251543
All_Cluster,AutoEncoder,MSE,SGD,0.012,800,32,,Danmini_Doorbell,0.66,0.8,../models/All_Cluster,TRUE,TRUE,0.052990519,3404,0,0.967837471,0.943619689,0.93798647,0.982056598,0.98370089,0.984984773,0.960617707,0.9853091,0.988770869,0.980530629
All_Cluster,AutoEncoder,MSE,SGD,0.012,800,32,,Ecobee_Thermostat,0.66,0.8,../models/All_Cluster,TRUE,TRUE,0.052990519,3404,0,0.967837471,0.943619689,0.93798647,0.982056598,0.98370089,0.984984773,0.960617707,0.9853091,0.988770869,0.980530629
All_Cluster,AutoEncoder,MSE,SGD,0.012,800,32,,Ennio_Doorbell,0.66,0.8,../models/All_Cluster,TRUE,TRUE,0.052990519,3404,0,0.967837471,0.943619689,0.93798647,0.982056598,0.98370089,0.984984773,0.960617707,0.9853091,0.988770869,0.980530629
All_Cluster,AutoEncoder,MSE,SGD,0.012,800,32,,Philips_Baby_Monitor,0.66,0.8,../models/All_Cluster,TRUE,TRUE,0.052990519,3404,0,0.967837471,0.943619689,0.93798647,0.982056598,0.98370089,0.984984773,0.960617707,0.9853091,0.988770869,0.980530629
All_Cluster,AutoEncoder,MSE,SGD,0.012,800,32,,Provision_737_Security_Camera,0.66,0.8,../models/All_Cluster,TRUE,TRUE,0.052990519,3404,0,0.967837471,0.943619689,0.93798647,0.982056598,0.98370089,0.984984773,0.960617707,0.9853091,0.988770869,0.980530629
